lambda=0.5,T=600000,Single_Price=True,Alg.Cx=1,Alg.Cy=0.005,Alg.Cz=4,soft_constraint=True,,,,,,,,,
38,0.5,1.147700271,1.647700271,20894.04856,59618.39181,141303.7165,1.285714286,1.571428571,1.475586454,1.475586454,1.68627451,1.68627451,0.5,0.285714286,0
39,0.5,1.147700271,1.647700271,22446.66585,51242.5305,130729.7835,1.142857143,1.428571429,1.380284215,1.380284215,1.666666667,1.666666667,0.5,0.285714286,0
40,0.5,1.147700271,1.647700271,24054.11039,56667.01319,154433.2704,1.285714286,1.5,1.44271084,1.44271084,1.823529412,1.823529412,0.5,0.214285714,0
41,0.5,1.147700271,1.647700271,16752.93923,70958.395,116076.5994,1.214285714,1.571428571,1.595438212,1.595438212,1.294117647,1.294117647,0.5,0.357142857,0
42,0.5,1.147700271,1.647700271,21717.98776,60981.63896,154042.1898,1.357142857,1.642857143,1.485497208,1.485497208,1.784313725,1.784313725,0.5,0.285714286,0
43,0.5,1.147700271,1.647700271,28321.79233,46116.16492,113074.121,1.142857143,1.571428571,1.313876101,1.313876101,1.549019608,1.549019608,0.5,0.428571429,0
44,0.5,1.147700271,1.647700271,24078.60449,62076.79846,139394.8511,1.214285714,1.714285714,1.496723003,1.496723003,1.647058824,1.647058824,0.5,0.5,0
45,0.5,1.147700271,1.647700271,17660.38686,49255.48877,149403.1533,1.285714286,1.785714286,1.356969554,1.356969554,1.843137255,1.843137255,0.5,0.5,0
46,0.5,1.147700271,1.647700271,33653.08026,45263.54563,120442.7326,1.142857143,1.642857143,1.300625746,1.300625746,1.62745098,1.62745098,0.5,0.5,0
47,0.5,1.147700271,1.647700271,22979.24035,58182.26046,180430.4299,1.214285714,1.428571429,1.459314661,1.459314661,2.019607843,2.019607843,0.5,0.214285714,0
48,0.5,1.147700271,1.647700271,27237.38581,62067.71186,150506.4984,1.428571429,1.714285714,1.500526942,1.500526942,1.745098039,1.745098039,0.5,0.285714286,0
49,0.5,1.147700271,1.647700271,36858.27538,48264.86525,153226.9184,1.142857143,1.714285714,1.342856509,1.342856509,1.882352941,1.882352941,0.5,0.571428571,0
50,0.5,1.147700271,1.647700271,31675.48024,49042.42768,156435.3512,1.214285714,1.785714286,1.350148727,1.350148727,1.901960784,1.901960784,0.5,0.571428571,0
51,0.5,1.147700271,1.647700271,25925.19495,69872.35846,140870.9005,1.357142857,1.642857143,1.579090545,1.579090545,1.588235294,1.588235294,0.5,0.285714286,0
52,0.5,1.147700271,1.647700271,23850.71156,65563.8688,128634.7229,1.285714286,1.857142857,1.53387083,1.53387083,1.509803922,1.509803922,0.5,0.571428571,0
53,0.5,1.147700271,1.647700271,20219.27107,64037.71768,141355.7703,1.285714286,1.642857143,1.523106309,1.523106309,1.647058824,1.647058824,0.5,0.357142857,0
54,0.5,1.147700271,1.647700271,24265.60641,48656.31733,99544.86406,1.214285714,1.714285714,1.346670321,1.346670321,1.37254902,1.37254902,0.5,0.5,0
55,0.5,1.147700271,1.647700271,37871.39913,48909.9056,94028.11,1.142857143,1.714285714,1.351650808,1.351650808,1.294117647,1.294117647,0.5,0.571428571,0
56,0.5,1.147700271,1.647700271,26534.96568,45105.63698,135844.2096,1.142857143,1.571428571,1.298293495,1.298293495,1.764705882,1.764705882,0.5,0.428571429,0
57,0.5,1.147700271,1.647700271,22757.43988,59312.89556,120502.1763,1.214285714,1.714285714,1.475333581,1.475333581,1.490196078,1.490196078,0.5,0.5,0
58,0.5,1.147700271,1.647700271,18971.624,57426.96518,95918.73975,1.285714286,1.785714286,1.454282345,1.454282345,1.176470588,1.176470588,0.5,0.5,0
59,0.5,1.147700271,1.647700271,18839.85112,53021.24544,99489.53072,1.285714286,1.642857143,1.405272778,1.405272778,1.31372549,1.31372549,0.5,0.357142857,0
60,0.5,1.147700271,1.647700271,30610.51099,40009.08957,90897.6363,1.142857143,1.642857143,1.209558796,1.209558796,1.37254902,1.37254902,0.5,0.5,0
61,0.5,1.147700271,1.647700271,19091.4461,74367.57695,141325.5331,1.285714286,1.785714286,1.621630642,1.621630642,1.549019608,1.549019608,0.5,0.5,0
62,0.5,1.147700271,1.647700271,24233.70858,51318.53396,168569.6652,1.357142857,1.642857143,1.384125861,1.384125861,1.980392157,1.980392157,0.5,0.285714286,0
63,0.5,1.147700271,1.647700271,42838.63149,51635.67614,124707.8411,1.071428571,1.571428571,1.38386389,1.38386389,1.607843137,1.607843137,0.5,0.5,0
64,0.5,1.147700271,1.647700271,28929.27898,69472.35024,179310.5758,1.214285714,1.785714286,1.566555593,1.566555593,1.921568627,1.921568627,0.5,0.571428571,0
65,0.5,1.147700271,1.647700271,30234.8193,38176.76474,77368.45709,1.142857143,1.642857143,1.149258691,1.149258691,1.137254902,1.137254902,0.5,0.5,0
66,0.5,1.147700271,1.647700271,21745.39897,42524.82334,105595.6774,1.285714286,1.571428571,1.256633951,1.256633951,1.509803922,1.509803922,0.5,0.285714286,0
67,0.5,1.147700271,1.647700271,18303.37453,62146.9635,108615.2488,1.285714286,1.785714286,1.50775466,1.50775466,1.31372549,1.31372549,0.5,0.5,0
68,0.5,1.147700271,1.647700271,25853.23838,82799.43966,160117.4923,1.142857143,1.571428571,1.697851802,1.697851802,1.647058824,1.647058824,0.5,0.428571429,0
69,0.5,1.147700271,1.647700271,41530.27242,49956.95539,100845.5021,1.214285714,1.928571429,1.363076732,1.363076732,1.37254902,1.37254902,0.5,0.714285714,0
70,0.5,1.147700271,1.647700271,19686.29807,40851.1351,109811.0567,1.285714286,1.642857143,1.115592977,1.115592977,1.568627451,1.568627451,0.5,0.357142857,0
71,0.5,1.147700271,1.647700271,22854.80818,46937.30471,135376.0912,1.214285714,1.714285714,1.324182447,1.324182447,1.745098039,1.745098039,0.5,0.5,0
72,0.5,1.147700271,1.647700271,18845.54488,45008.9465,118081.1115,1.285714286,1.785714286,1.291680938,1.291680938,1.607843137,1.607843137,0.5,0.5,0
73,0.5,1.147700271,1.647700271,33411.54302,45235.23271,108306.0868,1.142857143,1.642857143,1.298175287,1.298175287,1.509803922,1.509803922,0.5,0.5,0
74,0.5,1.147700271,1.647700271,24784.22042,37907.87311,81741.77331,1.285714286,1.857142857,1.162724044,1.162724044,1.274509804,1.274509804,0.5,0.571428571,0
75,0.5,1.147700271,1.647700271,20784.04977,59129.84972,140815.1744,1.214285714,1.642857143,1.465468078,1.465468078,1.68627451,1.68627451,0.5,0.428571429,0
76,0.5,1.147700271,1.647700271,22158.09899,54555.96098,164394.1866,1.357142857,1.785714286,1.411157713,1.411157713,1.921568627,1.921568627,0.5,0.428571429,0
77,0.5,1.147700271,1.647700271,21876.20983,52566.32974,117560.6783,1.357142857,1.714285714,1.396050561,1.396050561,1.529411765,1.529411765,0.5,0.357142857,0
78,0.5,1.147700271,1.647700271,25374.49327,42053.42494,151891.6505,1.214285714,1.5,1.248649676,1.248649676,1.921568627,1.921568627,0.5,0.285714286,0
79,0.5,1.147700271,1.647700271,30610.51099,45539.75414,116538.2962,1.142857143,1.642857143,1.304775471,1.304775471,1.588235294,1.588235294,0.5,0.5,0
80,0.5,1.147700271,1.647700271,21321.22673,69477.29136,148964.5444,1.214285714,1.642857143,1.574975649,1.574975649,1.666666667,1.666666667,0.5,0.428571429,0
81,0.5,1.147700271,1.647700271,20903.87187,65409.26762,108027.2135,1.214285714,1.642857143,1.537643341,1.537643341,1.254901961,1.254901961,0.5,0.428571429,0
82,0.5,1.147700271,1.647700271,22812.53513,43354.96085,118534.1478,1.214285714,1.714285714,1.089309626,1.089309626,1.62745098,1.62745098,0.5,0.5,0
83,0.5,1.147700271,1.647700271,25007.84933,75680.71533,142638.6714,1.142857143,1.571428571,1.628627164,1.628627164,1.549019608,1.549019608,0.5,0.428571429,0
84,0.5,1.147700271,1.647700271,30084.71837,38152.48389,115470.5365,1.214285714,1.785714286,1.170064452,1.170064452,1.647058824,1.647058824,0.5,0.571428571,0
85,0.5,1.147700271,1.647700271,21540.5092,68511.74611,133506.0947,1.285714286,1.5,1.564769708,1.564769708,1.529411765,1.529411765,0.5,0.214285714,0
86,0.5,1.147700271,1.647700271,37914.66171,64048.24731,116525.6908,1.071428571,1.5,1.522207581,1.522207581,1.392156863,1.392156863,0.5,0.428571429,0
87,0.5,1.147700271,1.647700271,21221.38312,46136.66068,168384.8301,1.357142857,1.714285714,1.313655078,1.313655078,2.019607843,2.019607843,0.5,0.357142857,0
88,0.5,1.147700271,1.647700271,19649.40566,42489.55436,162234.2748,1.285714286,1.785714286,1.254856776,1.254856776,2,2,0.5,0.5,0
89,0.5,1.147700271,1.647700271,31066.28085,64824.09836,169786.1516,1.214285714,1.785714286,1.527519192,1.527519192,1.882352941,1.882352941,0.5,0.571428571,0
90,0.5,1.147700271,1.647700271,30562.10058,42581.66704,93470.21377,1.285714286,1.428571429,1.25108276,1.25108276,1.37254902,1.37254902,0.5,0.142857143,0
91,0.5,1.147700271,1.647700271,26707.55914,86089.74532,161268.9323,1.428571429,1.785714286,1.724914503,1.724914503,1.62745098,1.62745098,0.5,0.357142857,0
92,0.5,1.147700271,1.647700271,23762.15098,43023.91792,138427.4231,1.214285714,1.714285714,1.259206877,1.259206877,1.803921569,1.803921569,0.5,0.5,0
93,0.5,1.147700271,1.647700271,23134.99573,78234.04863,159919.3733,1.214285714,1.714285714,1.652591932,1.652591932,1.68627451,1.68627451,0.5,0.5,0
94,0.5,1.147700271,1.647700271,29258.56165,46605.74689,109676.6009,1.142857143,1.571428571,1.319486601,1.319486601,1.509803922,1.509803922,0.5,0.428571429,0
95,0.5,1.147700271,1.647700271,24534.41306,51894.7419,102783.2886,1.214285714,1.714285714,1.382993994,1.382993994,1.37254902,1.37254902,0.5,0.5,0
96,0.5,1.147700271,1.647700271,19307.38632,72088.23446,118556.5197,1.285714286,1.642857143,1.593855458,1.593855458,1.31372549,1.31372549,0.5,0.357142857,0
97,0.5,1.147700271,1.647700271,32462.89701,53357.34896,95975.29483,1.142857143,1.285714286,1.404142263,1.404142263,1.254901961,1.254901961,0.5,0.142857143,0
