lambda=0.5,T=600000,Single_Price=True,Alg.Cx=1,Alg.Cy=0.005,Alg.Cz=4,soft_constraint=True,,,,,,,,,
165,0.5,1.147700271,1.647700271,30662.13212,47724.3541,85383.23411,1.214285714,1.785714286,1.332205677,1.332205677,1.156862745,1.156862745,0.5,0.571428571,0
166,0.5,1.147700271,1.647700271,17715.48211,40557.96119,155326.2192,1.285714286,1.785714286,1.22099544,1.22099544,1.960784314,1.960784314,0.5,0.5,0
167,0.5,1.147700271,1.647700271,26622.03011,52420.59555,123419.1376,1.142857143,1.571428571,1.384805271,1.384805271,1.588235294,1.588235294,0.5,0.428571429,0
168,0.5,1.147700271,1.647700271,23392.45223,43426.73444,97547.04979,1.285714286,1.571428571,1.269094278,1.269094278,1.411764706,1.411764706,0.5,0.285714286,0
169,0.5,1.147700271,1.647700271,29730.43613,53146.55973,130464.6123,1.357142857,1.5,1.401531166,1.401531166,1.647058824,1.647058824,0.5,0.142857143,0
170,0.5,1.147700271,1.647700271,23656.35521,53339.41606,110898.8227,1.214285714,1.428571429,1.397871799,1.397871799,1.450980392,1.450980392,0.5,0.214285714,0
171,0.5,1.147700271,1.647700271,19520.99617,59760.13905,102378.0849,1.214285714,1.5,1.472937324,1.472937324,1.254901961,1.254901961,0.5,0.285714286,0
172,0.5,1.147700271,1.647700271,26121.83605,59923.34387,102541.2897,1.142857143,1.571428571,1.476809825,1.476809825,1.254901961,1.254901961,0.5,0.428571429,0
173,0.5,1.147700271,1.647700271,31419.89401,51229.9517,128548.0043,1.214285714,1.785714286,1.380241716,1.380241716,1.647058824,1.647058824,0.5,0.571428571,0
174,0.5,1.147700271,1.647700271,18724.86129,60884.74369,113362.1871,1.285714286,1.642857143,1.489815069,1.489815069,1.392156863,1.392156863,0.5,0.357142857,0
175,0.5,1.147700271,1.647700271,25042.58207,60090.90501,102708.8509,1.142857143,1.5,1.476337677,1.476337677,1.254901961,1.254901961,0.5,0.357142857,0
176,0.5,1.147700271,1.647700271,19527.67607,69224.8408,157663.6273,1.285714286,1.714285714,1.577373964,1.577373964,1.745098039,1.745098039,0.5,0.428571429,0
177,0.5,1.147700271,1.647700271,37739.19277,47878.21208,88279.97091,1.142857143,1.714285714,1.335446169,1.335446169,1.215686275,1.215686275,0.5,0.571428571,0
178,0.5,1.147700271,1.647700271,17604.17363,51322.85183,149089.109,1.214285714,1.642857143,1.379229106,1.379229106,1.823529412,1.823529412,0.5,0.428571429,0
179,0.5,1.147700271,1.647700271,24141.05483,63451.05333,140769.1059,1.142857143,1.5,1.518404705,1.518404705,1.647058824,1.647058824,0.5,0.357142857,0
180,0.5,1.147700271,1.647700271,31494.47105,52043.74099,95877.64119,1.214285714,1.785714286,1.390331492,1.390331492,1.274509804,1.274509804,0.5,0.571428571,0
181,0.5,1.147700271,1.647700271,24737.90766,46371.39115,132533.8382,1.285714286,1.857142857,1.317894836,1.317894836,1.725490196,1.725490196,0.5,0.571428571,0
182,0.5,1.147700271,1.647700271,30053.34528,40613.43967,133673.9905,1.214285714,1.785714286,1.222284142,1.222284142,1.784313725,1.784313725,0.5,0.571428571,0
183,0.5,1.147700271,1.647700271,32232.53945,52912.22136,165209.2063,1.142857143,1.642857143,1.396598917,1.396598917,1.941176471,1.941176471,0.5,0.5,0
184,0.5,1.147700271,1.647700271,17962.18597,83836.03275,134724.5795,1.285714286,1.714285714,1.708658475,1.708658475,1.37254902,1.37254902,0.5,0.428571429,0
185,0.5,1.147700271,1.647700271,33069.63544,53405.55165,98523.75605,1.142857143,1.642857143,1.398377704,1.398377704,1.294117647,1.294117647,0.5,0.5,0
186,0.5,1.147700271,1.647700271,18359.26768,43037.0937,165285.2631,1.214285714,1.642857143,1.258756157,1.258756157,2.019607843,2.019607843,0.5,0.428571429,0
187,0.5,1.147700271,1.647700271,21976.35845,44216.64989,128127.498,1.357142857,1.714285714,1.286738256,1.286738256,1.705882353,1.705882353,0.5,0.357142857,0
188,0.5,1.147700271,1.647700271,17977.24593,48694.50417,102814.8195,1.214285714,1.571428571,1.348404038,1.348404038,1.411764706,1.411764706,0.5,0.357142857,0
189,0.5,1.147700271,1.647700271,42564.296,53903.79965,146964.3505,1.071428571,1.571428571,1.410781399,1.410781399,1.784313725,1.784313725,0.5,0.5,0
190,0.5,1.147700271,1.647700271,17611.91926,96751.58564,138224.5757,1.285714286,1.714285714,1.818604142,1.818604142,1.235294118,1.235294118,0.5,0.428571429,0
191,0.5,1.147700271,1.647700271,21921.73404,72231.6067,147410.7937,1.357142857,1.928571429,1.599890936,1.599890936,1.62745098,1.62745098,0.5,0.571428571,0
192,0.5,1.147700271,1.647700271,38325.42479,57374.6511,134692.7037,1.142857143,1.714285714,1.452209829,1.452209829,1.647058824,1.647058824,0.5,0.571428571,0
193,0.5,1.147700271,1.647700271,31402.67842,60598.89133,103216.8372,1.142857143,1.642857143,1.487080096,1.487080096,1.254901961,1.254901961,0.5,0.5,0
194,0.5,1.147700271,1.647700271,27011.65822,48945.51565,139684.0883,1.357142857,2,1.351964096,1.351964096,1.764705882,1.764705882,0.5,0.642857143,0
195,0.5,1.147700271,1.647700271,19502.23586,51201.8056,139640.5921,1.285714286,1.642857143,1.377307717,1.377307717,1.745098039,1.745098039,0.5,0.357142857,0
196,0.5,1.147700271,1.647700271,29431.86932,61246.24774,120597.7396,1.357142857,1.5,1.49332729,1.49332729,1.470588235,1.470588235,0.5,0.142857143,0
197,0.5,1.147700271,1.647700271,24972.11748,48661.46988,123840.6568,1.428571429,1.857142857,1.34881823,1.34881823,1.62745098,1.62745098,0.5,0.428571429,0
198,0.5,1.147700271,1.647700271,37252.11497,45692.09463,85099.15252,1.5,1.714285714,1.303040914,1.303040914,1.196078431,1.196078431,0.5,0.214285714,0
199,0.5,1.147700271,1.647700271,36144.51809,53400.27309,128579.46,1.571428571,1.928571429,1.410117923,1.410117923,1.62745098,1.62745098,0.5,0.357142857,0
200,0.5,1.147700271,1.647700271,35267.41431,48325.09623,139063.6688,1.214285714,1.857142857,1.340754608,1.340754608,1.764705882,1.764705882,0.5,0.642857143,0
201,0.5,1.147700271,1.647700271,44324.15657,42111.41807,80603.19264,1.142857143,1.785714286,1.247637198,1.247637198,1.176470588,1.176470588,0.5,0.642857143,0
202,0.5,1.147700271,1.647700271,29197.93799,65678.25779,180446.5158,1.214285714,1.785714286,1.540718333,1.540718333,1.960784314,1.960784314,0.5,0.571428571,0
203,0.5,1.147700271,1.647700271,22415.14699,60802.05732,160949.7218,1.214285714,1.642857143,1.490842828,1.490842828,1.843137255,1.843137255,0.5,0.428571429,0
204,0.5,1.147700271,1.647700271,29578.53785,49096.8411,92930.7413,1.285714286,1.928571429,1.351357902,1.351357902,1.274509804,1.274509804,0.5,0.642857143,0
205,0.5,1.147700271,1.647700271,19348.32064,44364.6316,86982.57747,1.285714286,1.571428571,1.286666682,1.286666682,1.254901961,1.254901961,0.5,0.285714286,0
206,0.5,1.147700271,1.647700271,23079.89782,48336.97276,111407.8268,1.357142857,1.714285714,1.339681427,1.339681427,1.509803922,1.509803922,0.5,0.357142857,0
207,0.5,1.147700271,1.647700271,23730.87581,60831.38301,116646.3853,1.285714286,1.857142857,1.489069291,1.489069291,1.431372549,1.431372549,0.5,0.571428571,0
208,0.5,1.147700271,1.647700271,23521.70033,37893.57459,138041.2391,1.357142857,1.642857143,1.152931975,1.152931975,1.843137255,1.843137255,0.5,0.285714286,0
209,0.5,1.147700271,1.647700271,20219.92598,50428.49693,134339.3451,1.214285714,1.642857143,1.371451796,1.371451796,1.705882353,1.705882353,0.5,0.428571429,0
210,0.5,1.147700271,1.647700271,18747.96616,55891.95082,105247.8006,1.285714286,1.785714286,1.436924994,1.436924994,1.352941176,1.352941176,0.5,0.5,0
211,0.5,1.147700271,1.647700271,17711.58767,64509.03383,150671.4808,1.214285714,1.571428571,1.530008396,1.530008396,1.725490196,1.725490196,0.5,0.357142857,0
212,0.5,1.147700271,1.647700271,41731.09858,53346.40837,168114.6664,1.214285714,1.928571429,1.404769979,1.404769979,1.960784314,1.960784314,0.5,0.714285714,0
213,0.5,1.147700271,1.647700271,19081.00733,48194.3794,115152.3355,1.285714286,1.785714286,1.339976533,1.339976533,1.549019608,1.549019608,0.5,0.5,0
214,0.5,1.147700271,1.647700271,19892.46946,44584.17483,139987.6801,1.142857143,1.428571429,1.28550949,1.28550949,1.803921569,1.803921569,0.5,0.285714286,0
215,0.5,1.147700271,1.647700271,22974.64393,43129.79938,129292.2464,1.214285714,1.714285714,1.264099196,1.264099196,1.725490196,1.725490196,0.5,0.5,0
216,0.5,1.147700271,1.647700271,23966.22963,52181.59645,117175.945,1.357142857,1.714285714,1.392641601,1.392641601,1.529411765,1.529411765,0.5,0.357142857,0
217,0.5,1.147700271,1.647700271,23303.96482,55122.0802,145860.6528,1.142857143,1.5,1.426488769,1.426488769,1.764705882,1.764705882,0.5,0.357142857,0
218,0.5,1.147700271,1.647700271,24223.3459,61858.81777,181603.5382,1.357142857,1.714285714,1.498945073,1.498945073,2,2,0.5,0.357142857,0
219,0.5,1.147700271,1.647700271,18775.49652,55861.38503,95053.07738,1.285714286,1.785714286,1.428879247,1.428879247,1.137254902,1.137254902,0.5,0.5,0
220,0.5,1.147700271,1.647700271,19336.54368,74552.7186,181945.6421,1.285714286,1.642857143,1.628344317,1.628344317,1.901960784,1.901960784,0.5,0.357142857,0
221,0.5,1.147700271,1.647700271,29504.43617,50216.56109,104336.8764,1.142857143,1.571428571,1.368375938,1.368375938,1.411764706,1.411764706,0.5,0.428571429,0
222,0.5,1.147700271,1.647700271,28396.4818,58913.32368,156679.5808,1.214285714,1.785714286,1.469567197,1.469567197,1.823529412,1.823529412,0.5,0.571428571,0
223,0.5,1.147700271,1.647700271,19249.55388,65889.89773,128960.7518,1.214285714,1.642857143,1.542324517,1.542324517,1.509803922,1.509803922,0.5,0.428571429,0
224,0.5,1.147700271,1.647700271,23057.03275,53443.50917,137354.3573,1.285714286,1.571428571,1.406743415,1.406743415,1.705882353,1.705882353,0.5,0.285714286,0
225,0.5,1.147700271,1.647700271,38253.81287,49685.81828,120684.3603,1.071428571,1.5,1.361801307,1.361801307,1.588235294,1.588235294,0.5,0.428571429,0
226,0.5,1.147700271,1.647700271,20270.23606,57712.61092,141623.4591,1.214285714,1.5,1.45364148,1.45364148,1.705882353,1.705882353,0.5,0.285714286,0
227,0.5,1.147700271,1.647700271,22686.87902,51708.00771,122706.5498,1.357142857,1.714285714,1.385158086,1.385158086,1.588235294,1.588235294,0.5,0.357142857,0
228,0.5,1.147700271,1.647700271,21037.80608,58935.89558,114750.8978,1.285714286,1.785714286,1.471364245,1.471364245,1.431372549,1.431372549,0.5,0.5,0
229,0.5,1.147700271,1.647700271,18801.54426,44318.48089,90786.76616,1.214285714,1.642857143,1.283707989,1.283707989,1.31372549,1.31372549,0.5,0.428571429,0
230,0.5,1.147700271,1.647700271,25778.8208,63649.63543,121209.042,1.214285714,1.714285714,1.520377473,1.520377473,1.450980392,1.450980392,0.5,0.5,0
231,0.5,1.147700271,1.647700271,17955.1823,45660.56073,122978.6133,1.214285714,1.642857143,1.30252262,1.30252262,1.647058824,1.647058824,0.5,0.428571429,0
232,0.5,1.147700271,1.647700271,18575.79479,50583.49873,127901.5513,1.214285714,1.642857143,1.370852879,1.370852879,1.647058824,1.647058824,0.5,0.428571429,0
233,0.5,1.147700271,1.647700271,32106.81507,49239.89995,108591.3918,1.142857143,1.642857143,1.356487066,1.356487066,1.470588235,1.470588235,0.5,0.5,0
234,0.5,1.147700271,1.647700271,44293.27297,58395.38479,140080.7095,1.142857143,1.785714286,1.46520022,1.46520022,1.68627451,1.68627451,0.5,0.642857143,0
235,0.5,1.147700271,1.647700271,26422.71449,47376.36124,138114.9338,1.214285714,1.714285714,1.328995427,1.328995427,1.764705882,1.764705882,0.5,0.5,0
236,0.5,1.147700271,1.647700271,26112.01103,62425.92842,125496.7825,1.142857143,1.5,1.503200919,1.503200919,1.509803922,1.509803922,0.5,0.357142857,0
237,0.5,1.147700271,1.647700271,23682.6197,67396.96714,155835.7536,1.214285714,1.714285714,1.556939049,1.556939049,1.745098039,1.745098039,0.5,0.5,0
238,0.5,1.147700271,1.647700271,19795.72613,55735.11113,126733.6532,1.285714286,1.642857143,1.433449539,1.433449539,1.588235294,1.588235294,0.5,0.357142857,0
239,0.5,1.147700271,1.647700271,31309.72471,52121.16137,154667.782,1.071428571,1.357142857,1.393177672,1.393177672,1.862745098,1.862745098,0.5,0.285714286,0
240,0.5,1.147700271,1.647700271,25988.23558,54103.8904,159065.9436,1.428571429,1.785714286,1.413691988,1.413691988,1.882352941,1.882352941,0.5,0.357142857,0
241,0.5,1.147700271,1.647700271,40727.12136,49866.54862,91339.53865,1.071428571,1.571428571,1.362227143,1.362227143,1.235294118,1.235294118,0.5,0.5,0
242,0.5,1.147700271,1.647700271,38163.4632,46021.63957,119093.8045,1.071428571,1.5,1.307621049,1.307621049,1.607843137,1.607843137,0.5,0.428571429,0
243,0.5,1.147700271,1.647700271,18934.39955,71102.72254,166506.2278,1.285714286,1.785714286,1.591496693,1.591496693,1.803921569,1.803921569,0.5,0.5,0
244,0.5,1.147700271,1.647700271,29026.64727,58655.90452,147094.691,1.214285714,1.785714286,1.468915607,1.468915607,1.745098039,1.745098039,0.5,0.571428571,0
245,0.5,1.147700271,1.647700271,36094.52172,51076.53306,89568.30762,1.142857143,1.714285714,1.378069368,1.378069368,1.176470588,1.176470588,0.5,0.571428571,0
246,0.5,1.147700271,1.647700271,23938.59163,50487.38824,95605.59264,1.214285714,1.714285714,1.369884079,1.369884079,1.294117647,1.294117647,0.5,0.5,0
247,0.5,1.147700271,1.647700271,21235.83592,65525.39443,175363.62,1.285714286,1.571428571,1.538542171,1.538542171,1.921568627,1.921568627,0.5,0.285714286,0
248,0.5,1.147700271,1.647700271,35362.41143,74870.54092,118704.4411,1.071428571,1.428571429,1.632137476,1.632137476,1.274509804,1.274509804,0.5,0.357142857,0
249,0.5,1.147700271,1.647700271,27798.34554,89957.08505,153027.9391,1.428571429,1.785714286,1.758970096,1.758970096,1.509803922,1.509803922,0.5,0.357142857,0
250,0.5,1.147700271,1.647700271,29182.15984,51201.7562,103679.1996,1.285714286,1.928571429,1.378172143,1.378172143,1.392156863,1.392156863,0.5,0.642857143,0
251,0.5,1.147700271,1.647700271,39501.7215,47985.11997,165236.2513,1.142857143,1.714285714,1.339108333,1.339108333,1.980392157,1.980392157,0.5,0.571428571,0
252,0.5,1.147700271,1.647700271,24664.39832,54584.9319,131902.9845,1.285714286,1.857142857,1.424890446,1.424890446,1.647058824,1.647058824,0.5,0.571428571,0
253,0.5,1.147700271,1.647700271,17630.22222,38035.34854,77442.40643,1.214285714,1.642857143,1.151733762,1.151733762,1.196078431,1.196078431,0.5,0.428571429,0
254,0.5,1.147700271,1.647700271,19465.20097,72399.74949,123288.2962,1.214285714,1.571428571,1.60508759,1.60508759,1.37254902,1.37254902,0.5,0.357142857,0
255,0.5,1.147700271,1.647700271,30053.34528,60722.97117,125717.3198,1.214285714,1.785714286,1.485956565,1.485956565,1.529411765,1.529411765,0.5,0.571428571,0
256,0.5,1.147700271,1.647700271,41108.28215,75888.57153,138959.4256,1.071428571,1.571428571,1.634240476,1.634240476,1.509803922,1.509803922,0.5,0.5,0
257,0.5,1.147700271,1.647700271,36410.13893,42286.63169,109244.5878,1.214285714,1.857142857,1.251828286,1.251828286,1.549019608,1.549019608,0.5,0.642857143,0
258,0.5,1.147700271,1.647700271,21742.62063,46319.19363,95804.94185,1.357142857,1.785714286,1.310895514,1.310895514,1.039215686,1.039215686,0.5,0.428571429,0
259,0.5,1.147700271,1.647700271,35339.63146,66971.28797,167118.9525,1.285714286,2,1.553878447,1.553878447,1.843137255,1.843137255,0.5,0.714285714,0
260,0.5,1.147700271,1.647700271,18298.13002,84760.70104,125669.2772,1.214285714,1.571428571,1.712382038,1.712382038,1.117647059,1.117647059,0.5,0.357142857,0
261,0.5,1.147700271,1.647700271,17160.67294,64997.32106,112878.9642,1.214285714,1.571428571,1.526238667,1.526238667,1.333333333,1.333333333,0.5,0.357142857,0
262,0.5,1.147700271,1.647700271,20820.99457,48543.74594,107895.2378,1.357142857,1.714285714,1.343742609,1.343742609,1.470588235,1.470588235,0.5,0.357142857,0
263,0.5,1.147700271,1.647700271,19399.61935,52661.45424,97506.36817,1.214285714,1.571428571,1.388622788,1.388622788,1.078431373,1.078431373,0.5,0.357142857,0
264,0.5,1.147700271,1.647700271,22555.80508,44030.97956,137091.5304,1.214285714,1.642857143,1.279627478,1.279627478,1.784313725,1.784313725,0.5,0.428571429,0
265,0.5,1.147700271,1.647700271,16915.68788,44595.083,128505.9312,1.285714286,1.714285714,1.285741018,1.285741018,1.705882353,1.705882353,0.5,0.428571429,0
266,0.5,1.147700271,1.647700271,29871.38463,53545.31087,106022.7543,1.142857143,1.642857143,1.406549579,1.406549579,1.392156863,1.392156863,0.5,0.5,0
267,0.5,1.147700271,1.647700271,26475.80401,49096.50288,122168.6678,1.214285714,1.714285714,1.349198762,1.349198762,1.607843137,1.607843137,0.5,0.5,0
268,0.5,1.147700271,1.647700271,21288.64234,53829.93906,118824.2876,1.357142857,1.714285714,1.408331789,1.408331789,1.529411765,1.529411765,0.5,0.357142857,0
269,0.5,1.147700271,1.647700271,18724.26496,58600.31017,116159.7168,1.285714286,1.785714286,1.459382147,1.459382147,1.450980392,1.450980392,0.5,0.5,0
270,0.5,1.147700271,1.647700271,22036.88656,45530.95783,106720.2386,1.357142857,1.714285714,1.302543076,1.302543076,1.490196078,1.490196078,0.5,0.357142857,0
271,0.5,1.147700271,1.647700271,29896.26934,60939.08983,122128.3706,1.142857143,1.642857143,1.484766017,1.484766017,1.490196078,1.490196078,0.5,0.5,0
272,0.5,1.147700271,1.647700271,19014.37515,69820.36486,155982.8119,1.214285714,1.642857143,1.582494244,1.582494244,1.725490196,1.725490196,0.5,0.428571429,0
273,0.5,1.147700271,1.647700271,26654.80143,53923.92607,146984.4769,1.142857143,1.571428571,1.41218941,1.41218941,1.784313725,1.784313725,0.5,0.428571429,0
274,0.5,1.147700271,1.647700271,27980.35249,55784.50019,133102.5528,1.142857143,1.571428571,1.44016378,1.44016378,1.647058824,1.647058824,0.5,0.428571429,0
275,0.5,1.147700271,1.647700271,20468.43234,69496.39595,117378.039,1.214285714,1.5,1.57437888,1.57437888,1.333333333,1.333333333,0.5,0.285714286,0
276,0.5,1.147700271,1.647700271,25207.44976,64404.72224,108238.6224,1.214285714,1.714285714,1.523336857,1.523336857,1.274509804,1.274509804,0.5,0.5,0
277,0.5,1.147700271,1.647700271,23948.67227,68538.53876,152449.3869,1.142857143,1.5,1.565012175,1.565012175,1.705882353,1.705882353,0.5,0.357142857,0
278,0.5,1.147700271,1.647700271,26363.81263,61762.52726,176530.7852,1.142857143,1.571428571,1.500281128,1.500281128,1.960784314,1.960784314,0.5,0.428571429,0
279,0.5,1.147700271,1.647700271,40008.36707,55006.34787,98840.24807,1.071428571,1.571428571,1.424802484,1.424802484,1.274509804,1.274509804,0.5,0.5,0
280,0.5,1.147700271,1.647700271,35847.60698,67147.49341,115029.1365,1.214285714,1.857142857,1.548498375,1.548498375,1.333333333,1.333333333,0.5,0.642857143,0
281,0.5,1.147700271,1.647700271,20968.78159,54308.91274,91967.79274,1.357142857,1.857142857,1.417302886,1.417302886,1.156862745,1.156862745,0.5,0.5,0
282,0.5,1.147700271,1.647700271,20012.86041,46272.7646,102087.7669,1.285714286,1.642857143,1.314723697,1.314723697,1.431372549,1.431372549,0.5,0.357142857,0
283,0.5,1.147700271,1.647700271,44938.31505,54552.91596,127625.0809,1.142857143,1.785714286,1.416968734,1.416968734,1.607843137,1.607843137,0.5,0.642857143,0
284,0.5,1.147700271,1.647700271,27329.36383,56103.39781,170871.6558,1.071428571,1.285714286,1.437172086,1.437172086,1.960784314,1.960784314,0.5,0.214285714,0
285,0.5,1.147700271,1.647700271,42305.44807,44910.45725,167158.6267,1.214285714,1.928571429,1.293426319,1.293426319,2.019607843,2.019607843,0.5,0.714285714,0
286,0.5,1.147700271,1.647700271,16881.79838,55015.80608,164854.0317,1.285714286,1.714285714,1.426361597,1.426361597,1.921568627,1.921568627,0.5,0.428571429,0
287,0.5,1.147700271,1.647700271,18879.2546,48961.84189,124141.0289,1.285714286,1.714285714,1.347631945,1.347631945,1.62745098,1.62745098,0.5,0.428571429,0
288,0.5,1.147700271,1.647700271,30964.04476,46022.0411,129932.8893,1.214285714,1.785714286,1.311110841,1.311110841,1.705882353,1.705882353,0.5,0.571428571,0
289,0.5,1.147700271,1.647700271,29286.49589,40726.1871,118044.2397,1.214285714,1.785714286,1.226640796,1.226640796,1.647058824,1.647058824,0.5,0.571428571,0
290,0.5,1.147700271,1.647700271,17348.89179,65163.08944,120978.0917,1.285714286,1.714285714,1.528463833,1.528463833,1.431372549,1.431372549,0.5,0.428571429,0
291,0.5,1.147700271,1.647700271,20219.2654,76745.25608,156232.5091,1.214285714,1.571428571,1.650685354,1.650685354,1.666666667,1.666666667,0.5,0.357142857,0
292,0.5,1.147700271,1.647700271,18181.26962,39466.42424,102537.2783,1.214285714,1.642857143,1.200164343,1.200164343,1.509803922,1.509803922,0.5,0.428571429,0
293,0.5,1.147700271,1.647700271,19768.46906,42859.66323,111819.5848,1.285714286,1.785714286,1.263218073,1.263218073,1.568627451,1.568627451,0.5,0.5,0
294,0.5,1.147700271,1.647700271,39394.93424,42702.06933,157470.3273,1.142857143,1.714285714,1.260751071,1.260751071,1.960784314,1.960784314,0.5,0.571428571,0
295,0.5,1.147700271,1.647700271,26987.74038,59352.3454,111829.7888,1.142857143,1.571428571,1.467569415,1.467569415,1.392156863,1.392156863,0.5,0.428571429,0
296,0.5,1.147700271,1.647700271,22690.19127,44995.82739,149957.8806,1.214285714,1.5,1.295176426,1.295176426,1.882352941,1.882352941,0.5,0.285714286,0
297,0.5,1.147700271,1.647700271,22413.37457,44146.47203,130308.919,1.214285714,1.642857143,1.278043139,1.278043139,1.725490196,1.725490196,0.5,0.428571429,0
298,0.5,1.147700271,1.647700271,20992.24734,58824.14275,121894.9968,1.357142857,1.857142857,1.467645166,1.467645166,1.509803922,1.509803922,0.5,0.5,0
299,0.5,1.147700271,1.647700271,20436.06305,48515.92034,99404.46707,1.214285714,1.642857143,1.344609179,1.344609179,1.37254902,1.37254902,0.5,0.428571429,0
300,0.5,1.147700271,1.647700271,29543.41761,52691.70513,105169.1486,1.214285714,1.785714286,1.39361333,1.39361333,1.392156863,1.392156863,0.5,0.571428571,0
301,0.5,1.147700271,1.647700271,37558.51178,49460.55611,164228.8141,1.071428571,1.5,1.355722139,1.355722139,1.960784314,1.960784314,0.5,0.428571429,0
302,0.5,1.147700271,1.647700271,23678.66536,40409.44179,99760.93362,1.142857143,1.428571429,1.21807058,1.21807058,1.470588235,1.470588235,0.5,0.285714286,0
303,0.5,1.147700271,1.647700271,21262.32557,73652.47745,148831.6644,1.214285714,1.5,1.621641211,1.621641211,1.62745098,1.62745098,0.5,0.285714286,0
304,0.5,1.147700271,1.647700271,23850.71156,54010.43297,147070.9838,1.285714286,1.857142857,1.406358211,1.406358211,1.784313725,1.784313725,0.5,0.571428571,0
305,0.5,1.147700271,1.647700271,19753.03884,49666.86973,92458.16622,1.285714286,1.714285714,1.361564838,1.361564838,1.098039216,1.098039216,0.5,0.428571429,0
306,0.5,1.147700271,1.647700271,25318.02906,60802.74551,129762.6671,1.142857143,1.428571429,1.485419114,1.485419114,1.568627451,1.568627451,0.5,0.285714286,0
307,0.5,1.147700271,1.647700271,30844.20901,56357.2029,110477.5182,1.214285714,1.785714286,1.433777211,1.433777211,1.411764706,1.411764706,0.5,0.571428571,0
308,0.5,1.147700271,1.647700271,23866.28799,60061.03045,155464.5357,1.285714286,1.5,1.47666613,1.47666613,1.803921569,1.803921569,0.5,0.214285714,0
309,0.5,1.147700271,1.647700271,17040.83719,50807.80706,94641.70726,1.214285714,1.571428571,1.372980566,1.372980566,1.274509804,1.274509804,0.5,0.357142857,0
310,0.5,1.147700271,1.647700271,38031.25684,58397.33532,121468.1894,1.071428571,1.5,1.45734056,1.45734056,1.509803922,1.509803922,0.5,0.428571429,0
311,0.5,1.147700271,1.647700271,27733.83778,42041.58142,144588.202,1.142857143,1.571428571,1.248217184,1.248217184,1.862745098,1.862745098,0.5,0.428571429,0
312,0.5,1.147700271,1.647700271,18497.86285,43599.65253,108594.0011,1.214285714,1.571428571,1.269514347,1.269514347,1.529411765,1.529411765,0.5,0.357142857,0
313,0.5,1.147700271,1.647700271,25380.22544,38922.25317,139069.9177,1.428571429,1.857142857,1.138981637,1.138981637,1.843137255,1.843137255,0.5,0.428571429,0
314,0.5,1.147700271,1.647700271,18941.7114,52831.50088,102187.3506,1.214285714,1.5,1.398645631,1.398645631,1.352941176,1.352941176,0.5,0.285714286,0
315,0.5,1.147700271,1.647700271,21637.56468,45114.55453,135853.1271,1.214285714,1.5,1.298415809,1.298415809,1.764705882,1.764705882,0.5,0.285714286,0
316,0.5,1.147700271,1.647700271,20461.14625,78425.10355,135984.5101,1.142857143,1.428571429,1.655616344,1.655616344,1.450980392,1.450980392,0.5,0.285714286,0
317,0.5,1.147700271,1.647700271,18576.72354,45579.73024,129490.5784,1.285714286,1.714285714,1.304265756,1.304265756,1.705882353,1.705882353,0.5,0.428571429,0
318,0.5,1.147700271,1.647700271,21773.17154,93782.54955,158776.8981,1.357142857,1.928571429,1.789320967,1.789320967,1.529411765,1.529411765,0.5,0.571428571,0
319,0.5,1.147700271,1.647700271,31037.5541,44530.6946,86003.68464,1.214285714,1.785714286,1.289987288,1.289987288,1.235294118,1.235294118,0.5,0.571428571,0
320,0.5,1.147700271,1.647700271,33717.56955,38337.67334,160585.8428,1.071428571,1.428571429,1.147793222,1.147793222,2.019607843,2.019607843,0.5,0.357142857,0
321,0.5,1.147700271,1.647700271,29455.5116,51697.37719,111048.869,1.285714286,1.928571429,1.385125079,1.385125079,1.470588235,1.470588235,0.5,0.642857143,0
322,0.5,1.147700271,1.647700271,24265.20024,60617.95968,153678.5105,1.142857143,1.571428571,1.490339205,1.490339205,1.784313725,1.784313725,0.5,0.428571429,0
323,0.5,1.147700271,1.647700271,36423.68523,66461.76034,131456.1089,1.214285714,1.857142857,1.548266537,1.548266537,1.529411765,1.529411765,0.5,0.642857143,0
324,0.5,1.147700271,1.647700271,20556.14645,48213.12242,90831.06828,1.357142857,1.785714286,1.340370681,1.340370681,1.254901961,1.254901961,0.5,0.428571429,0
325,0.5,1.147700271,1.647700271,29808.79416,44014.33199,87848.23219,1.214285714,1.785714286,1.280775393,1.280775393,1.274509804,1.274509804,0.5,0.571428571,0
326,0.5,1.147700271,1.647700271,24478.95697,52091.89952,95925.79972,1.142857143,1.5,1.385581088,1.385581088,1.274509804,1.274509804,0.5,0.357142857,0
327,0.5,1.147700271,1.647700271,17967.88974,54161.1278,111720.5344,1.285714286,1.785714286,1.420052643,1.420052643,1.450980392,1.450980392,0.5,0.5,0
328,0.5,1.147700271,1.647700271,36947.33477,59578.51147,113698.8268,1.214285714,1.857142857,1.469775333,1.469775333,1.411764706,1.411764706,0.5,0.642857143,0
329,0.5,1.147700271,1.647700271,29026.64727,57673.32676,150733.8776,1.214285714,1.785714286,1.448724674,1.448724674,1.784313725,1.784313725,0.5,0.571428571,0
330,0.5,1.147700271,1.647700271,20427.85409,72600.41513,147779.6021,1.285714286,1.714285714,1.598409661,1.598409661,1.62745098,1.62745098,0.5,0.428571429,0
331,0.5,1.147700271,1.647700271,33192.81516,64301.52632,166848.1469,1.142857143,1.642857143,1.526936599,1.526936599,1.862745098,1.862745098,0.5,0.5,0
