lambda=0.5,T=100000,Single_Price=True,Alg.Cx=1,Alg.Cy=0.005,Alg.Cz=4,soft_constraint=False,,,,,,,,
169,0.5,1.147700271,1.647700271,3839.190234,5050.084954,6719.178922,1.253888889,1.407592593,1.467952212,1.467952212,1.675675676,1.675675676,0.5,0.153703704
170,0.5,1.147700271,1.647700271,3415.396239,5105.973287,5091.564556,1.368964335,1.631035665,1.479385705,1.479385705,1.459459459,1.459459459,0.5,0.262071331
171,0.5,1.147700271,1.647700271,3837.480121,6584.243371,6433.085584,1.07420439,1.332160494,1.122286757,1.122286757,1.648648649,1.648648649,0.5,0.257956104
172,0.5,1.147700271,1.647700271,4640.481722,4891.749128,4937.575382,1.290308642,1.322613169,1.349352657,1.349352657,1.378378378,1.378378378,0.5,0.032304527
173,0.5,1.147700271,1.647700271,4126.34536,5144.135623,6433.085584,1.252654321,1.410473251,1.273585107,1.273585107,1.648648649,1.648648649,0.5,0.15781893
174,0.5,1.147700271,1.647700271,3830.03877,4901.32334,5204.19421,1.332482853,1.50127572,1.402759716,1.402759716,1.486486486,1.486486486,0.5,0.168792867
175,0.5,1.147700271,1.647700271,3300.638081,5683.690216,6719.178922,1.295171468,1.557242798,1.570586838,1.570586838,1.675675676,1.675675676,0.5,0.262071331
176,0.5,1.147700271,1.647700271,3488.862893,6425.823795,7351.447387,1.377880658,1.622119342,1.652677569,1.652677569,1.72972973,1.72972973,0.5,0.244238683
177,0.5,1.147700271,1.647700271,3542.25622,5529.04657,8829.916146,1.238251029,1.444080933,1.545490538,1.545490538,1.837837838,1.837837838,0.5,0.205829904
178,0.5,1.147700271,1.647700271,3911.547879,4935.137687,8435.784465,1.502146776,1.784794239,1.42767847,1.42767847,1.810810811,1.810810811,0.5,0.282647462
179,0.5,1.147700271,1.647700271,4560.290497,7383.608809,5345.219824,1.182839506,1.268641975,1.735976917,1.735976917,1.513513514,1.513513514,0.5,0.085802469
180,0.5,1.147700271,1.647700271,3242.144432,4995.544167,5707.386629,1.280356653,1.579465021,1.439095602,1.439095602,1.567567568,1.567567568,0.5,0.299108368
181,0.5,1.147700271,1.647700271,4925.329781,4965.251994,5008.658337,1.554691358,1.630205761,1.313498964,1.313498964,1.432432432,1.432432432,0.5,0.075514403
182,0.5,1.147700271,1.647700271,4083.089535,4974.885345,11009.57451,1.164595336,1.341618656,1.431522269,1.431522269,1.972972973,1.972972973,0.5,0.17702332
183,0.5,1.147700271,1.647700271,3822.904335,5026.206229,5926.105668,1.230843621,1.461364883,1.4597343,1.4597343,1.594594595,1.594594595,0.5,0.230521262
184,0.5,1.147700271,1.647700271,3488.862893,4965.033665,6168.373289,1.377880658,1.622119342,1.42817844,1.42817844,1.621621622,1.621621622,0.5,0.244238683
185,0.5,1.147700271,1.647700271,3555.452055,6386.320287,5345.219824,1.317668038,1.523497942,1.648039037,1.648039037,1.513513514,1.513513514,0.5,0.205829904
186,0.5,1.147700271,1.647700271,5236.144348,4991.617707,5008.658337,1.268500699,1.268500699,1.447855586,1.447855586,1.432432432,1.432432432,0.5,0
187,0.5,1.147700271,1.647700271,5273.060348,5513.22856,8829.916146,1.572798354,1.618134431,1.217495854,1.217495854,1.837837838,1.837837838,0.5,0.045336077
188,0.5,1.147700271,1.647700271,3239.694238,7051.927109,5707.386629,1.226316872,1.471927298,1.705928448,1.705928448,1.567567568,1.567567568,0.5,0.245610425
189,0.5,1.147700271,1.647700271,4411.497085,5384.809513,5008.658337,1.479794239,1.680137174,1.529549745,1.529549745,1.432432432,1.432432432,0.5,0.200342936
190,0.5,1.147700271,1.647700271,3488.862893,5588.054514,7025.628572,1.377880658,1.622119342,1.208883098,1.208883098,1.702702703,1.702702703,0.5,0.244238683
191,0.5,1.147700271,1.647700271,3258.429784,5011.958917,6719.178922,1.30175583,1.547366255,1.300388853,1.300388853,1.675675676,1.675675676,0.5,0.245610425
192,0.5,1.147700271,1.647700271,4584.536224,4935.447297,6168.373289,1.284753086,1.335576132,1.328657459,1.328657459,1.621621622,1.621621622,0.5,0.050823045
193,0.5,1.147700271,1.647700271,3292.972621,4934.182096,5345.219824,1.344958848,1.655041152,1.424247821,1.424247821,1.513513514,1.513513514,0.5,0.310082305
194,0.5,1.147700271,1.647700271,4392.684504,8339.642428,7351.447387,1.273436214,1.361982167,1.023085156,1.023085156,1.72972973,1.72972973,0.5,0.088545953
195,0.5,1.147700271,1.647700271,4840.304351,6776.009629,6719.178922,1.188326475,1.246694102,1.111271477,1.111271477,1.675675676,1.675675676,0.5,0.058367627
196,0.5,1.147700271,1.647700271,6807.679728,5051.278961,7695.68452,1.639533608,1.540699588,1.294947062,1.294947062,1.756756757,1.756756757,0.5,0.098834019
197,0.5,1.147700271,1.647700271,3219.527218,4885.648221,5513.361766,1.21026749,1.509375857,1.372042622,1.372042622,1.540540541,1.540540541,0.5,0.299108368
198,0.5,1.147700271,1.647700271,5821.121921,5263.563015,4937.575382,1.439958848,1.373360768,1.256769663,1.256769663,1.378378378,1.378378378,0.5,0.06659808
199,0.5,1.147700271,1.647700271,5567.516315,5125.147253,5707.386629,1.563418374,1.563418374,1.2752581,1.2752581,1.567567568,1.567567568,0.5,0
200,0.5,1.147700271,1.647700271,5494.59393,5180.608258,5926.105668,1.216414857,1.216414857,1.4869786,1.4869786,1.594594595,1.594594595,0.5,0
201,0.5,1.147700271,1.647700271,4304.902182,5252.890428,5926.105668,1.36266118,1.45600823,1.506745407,1.506745407,1.594594595,1.594594595,0.5,0.093347051
202,0.5,1.147700271,1.647700271,3488.862893,6094.774208,11965.47087,1.377880658,1.622119342,1.61106665,1.61106665,2.027027027,2.027027027,0.5,0.244238683
203,0.5,1.147700271,1.647700271,3451.468782,4908.720447,5091.564556,1.297914952,1.553127572,1.379256459,1.379256459,1.459459459,1.459459459,0.5,0.25521262
204,0.5,1.147700271,1.647700271,3835.10953,5522.148257,4937.575382,1.232901235,1.456563786,1.549509239,1.549509239,1.378378378,1.378378378,0.5,0.223662551
205,0.5,1.147700271,1.647700271,4475.74208,5163.46455,9239.0016,1.378024691,1.432962963,1.483673279,1.483673279,1.864864865,1.864864865,0.5,0.054938272
206,0.5,1.147700271,1.647700271,4433.00406,5310.429344,5204.19421,1.497901235,1.668065844,1.248205255,1.248205255,1.486486486,1.486486486,0.5,0.170164609
207,0.5,1.147700271,1.647700271,3642.570301,5194.265296,4956.852538,1.309986283,1.535020576,1.500483509,1.500483509,1.405405405,1.405405405,0.5,0.225034294
208,0.5,1.147700271,1.647700271,3694.945469,7261.313324,10098.9148,1.226728395,1.470967078,1.723367783,1.723367783,1.918918919,1.918918919,0.5,0.244238683
209,0.5,1.147700271,1.647700271,4326.515627,4953.340343,6719.178922,1.421776406,1.578223594,1.436922616,1.436922616,1.675675676,1.675675676,0.5,0.156447188
210,0.5,1.147700271,1.647700271,4029.838023,4921.445488,6168.373289,1.319862826,1.520205761,1.351944107,1.351944107,1.621621622,1.621621622,0.5,0.200342936
211,0.5,1.147700271,1.647700271,4310.633999,4876.730071,6719.178922,1.441666667,1.558333333,1.367585361,1.367585361,1.675675676,1.675675676,0.5,0.116666667
212,0.5,1.147700271,1.647700271,3822.904335,4886.262335,6719.178922,1.230843621,1.461364883,1.354673079,1.354673079,1.675675676,1.675675676,0.5,0.230521262
213,0.5,1.147700271,1.647700271,4600.623041,7348.781372,10548.25565,1.182702332,1.269190672,1.730442471,1.730442471,1.945945946,1.945945946,0.5,0.08648834
214,0.5,1.147700271,1.647700271,2954.383327,6316.839701,4956.852538,1.318895748,1.681104252,1.642972366,1.642972366,1.405405405,1.405405405,0.5,0.362208505
215,0.5,1.147700271,1.647700271,3973.04939,8428.061464,6888.482502,1.167613169,1.329547325,1.810697741,1.810697741,1.108108108,1.108108108,0.5,0.161934156
216,0.5,1.147700271,1.647700271,3508.178595,8603.136499,6433.085584,1.240308642,1.439279835,1.824616909,1.824616909,1.648648649,1.648648649,0.5,0.198971193
217,0.5,1.147700271,1.647700271,3081.307942,6371.836715,5707.386629,1.133045267,1.46781893,1.137517301,1.137517301,1.567567568,1.567567568,0.5,0.334773663
218,0.5,1.147700271,1.647700271,4369.043204,6414.009504,6491.292192,1.60351166,1.849122085,1.657802231,1.657802231,1.135135135,1.135135135,0.5,0.245610425
219,0.5,1.147700271,1.647700271,6248.365127,4908.97702,5382.923622,1.355260631,1.276316872,1.380935387,1.380935387,1.243243243,1.243243243,0.5,0.078943759
220,0.5,1.147700271,1.647700271,4535.379816,5090.554392,5345.219824,1.377750343,1.433374486,1.466185372,1.466185372,1.513513514,1.513513514,0.5,0.055624143
221,0.5,1.147700271,1.647700271,4255.763098,4903.735102,5345.219824,1.172277092,1.310891632,1.405917792,1.405917792,1.513513514,1.513513514,0.5,0.13861454
222,0.5,1.147700271,1.647700271,4814.571976,7735.041485,7351.447387,1.476989026,1.523010974,1.757986163,1.757986163,1.72972973,1.72972973,0.5,0.046021948
223,0.5,1.147700271,1.647700271,4253.654324,6659.764894,8829.916146,1.173374486,1.306502058,1.667220971,1.667220971,1.837837838,1.837837838,0.5,0.133127572
224,0.5,1.147700271,1.647700271,3863.061044,5077.517145,5091.564556,1.438641975,1.707572016,1.284469784,1.284469784,1.459459459,1.459459459,0.5,0.268930041
225,0.5,1.147700271,1.647700271,3256.837945,5093.324181,5002.586843,1.289135802,1.566296296,1.466668867,1.466668867,1.324324324,1.324324324,0.5,0.277160494
226,0.5,1.147700271,1.647700271,4239.262797,5241.091168,8435.784465,1.359917695,1.460123457,1.506114425,1.506114425,1.810810811,1.810810811,0.5,0.100205761
227,0.5,1.147700271,1.647700271,4140.990166,4899.0888,5090.004457,1.427949246,1.572050754,1.351368763,1.351368763,1.297297297,1.297297297,0.5,0.144101509
228,0.5,1.147700271,1.647700271,4952.850087,5486.269905,5008.658337,1.325519266,1.325519266,1.542815223,1.542815223,1.432432432,1.432432432,0.5,0
229,0.5,1.147700271,1.647700271,3396.805256,4987.004807,8401.996473,1.06899177,1.379074074,1.306614067,1.306614067,1.027027027,1.027027027,0.5,0.310082305
230,0.5,1.147700271,1.647700271,3439.606309,4914.518341,8057.424186,1.232901235,1.456563786,1.413202038,1.413202038,1.783783784,1.783783784,0.5,0.223662551
231,0.5,1.147700271,1.647700271,3836.906422,10049.9302,4952.308113,1.406687243,1.593312757,1.916465324,1.916465324,1.351351351,1.351351351,0.5,0.186625514
232,0.5,1.147700271,1.647700271,6347.133265,6026.986377,5002.586843,1.670185185,1.712777778,1.604028392,1.604028392,1.324324324,1.324324324,0.5,0.042592593
233,0.5,1.147700271,1.647700271,3289.075625,4883.956778,11009.57451,1.300109739,1.549835391,1.396558759,1.396558759,1.972972973,1.972972973,0.5,0.249725652
234,0.5,1.147700271,1.647700271,4568.627069,5301.739267,5008.658337,1.343731139,1.484403292,1.243043337,1.243043337,1.432432432,1.432432432,0.5,0.140672154
235,0.5,1.147700271,1.647700271,5399.577011,5300.376385,7025.628572,1.58308642,1.61127572,1.242522322,1.242522322,1.702702703,1.702702703,0.5,0.0281893
236,0.5,1.147700271,1.647700271,3153.2051,4893.036592,10098.9148,1.13962963,1.441481481,1.402139867,1.402139867,1.918918919,1.918918919,0.5,0.301851852
237,0.5,1.147700271,1.647700271,3443.135688,5052.977659,11009.57451,1.288038409,1.567942387,1.457131146,1.457131146,1.972972973,1.972972973,0.5,0.279903978
238,0.5,1.147700271,1.647700271,3408.344825,5398.137899,5382.923622,1.308340192,1.537489712,1.236306103,1.236306103,1.243243243,1.243243243,0.5,0.22914952
239,0.5,1.147700271,1.647700271,4328.708476,6778.212399,5345.219824,1.259444444,1.39462963,1.112491173,1.112491173,1.513513514,1.513513514,0.5,0.135185185
240,0.5,1.147700271,1.647700271,3685.794646,5839.324142,7025.628572,1.250185185,1.416234568,1.184542168,1.184542168,1.702702703,1.702702703,0.5,0.166049383
241,0.5,1.147700271,1.647700271,3608.75962,5411.104894,5707.386629,1.317119342,1.524320988,1.527779895,1.527779895,1.567567568,1.567567568,0.5,0.207201646
242,0.5,1.147700271,1.647700271,3184.301507,4889.524438,5216.212581,1.221790123,1.482489712,1.390415369,1.390415369,1.27027027,1.27027027,0.5,0.260699588
243,0.5,1.147700271,1.647700271,5013.31534,5148.072242,11482.19613,1.310980507,1.310980507,1.269586054,1.269586054,2,2,0.5,0
244,0.5,1.147700271,1.647700271,3456.631916,5149.343478,5216.212581,1.216851852,1.494012346,1.272565595,1.272565595,1.27027027,1.27027027,0.5,0.277160494
245,0.5,1.147700271,1.647700271,3654.201333,5143.183404,5204.19421,1.308888889,1.536666667,1.279807118,1.279807118,1.486486486,1.486486486,0.5,0.227777778
246,0.5,1.147700271,1.647700271,4821.59083,6734.405767,5002.586843,1.478703704,1.521296296,1.112177962,1.112177962,1.324324324,1.324324324,0.5,0.042592593
247,0.5,1.147700271,1.647700271,3304.466705,4962.778692,10098.9148,1.13962963,1.441481481,1.424499095,1.424499095,1.918918919,1.918918919,0.5,0.301851852
248,0.5,1.147700271,1.647700271,3870.773609,5087.67741,4956.852538,1.443580247,1.704279835,1.46687891,1.46687891,1.405405405,1.405405405,0.5,0.260699588
249,0.5,1.147700271,1.647700271,3115.455714,4905.917258,5513.361766,1.221378601,1.483449931,1.347038501,1.347038501,1.540540541,1.540540541,0.5,0.262071331
250,0.5,1.147700271,1.647700271,4673.528326,4967.648231,5845.020673,1.385706447,1.421440329,1.437567615,1.437567615,1.189189189,1.189189189,0.5,0.035733882
251,0.5,1.147700271,1.647700271,4222.439725,4898.715707,10548.25565,1.361563786,1.457654321,1.401672002,1.401672002,1.945945946,1.945945946,0.5,0.096090535
252,0.5,1.147700271,1.647700271,2912.334087,5266.02863,10548.25565,1.369506173,1.753662551,1.512238199,1.512238199,1.945945946,1.945945946,0.5,0.384156379
253,0.5,1.147700271,1.647700271,3369.798787,7043.968283,5707.386629,1.361419753,1.638580247,1.09345449,1.09345449,1.567567568,1.567567568,0.5,0.277160494
254,0.5,1.147700271,1.647700271,3179.355491,5459.605917,6719.178922,1.204506173,1.52281893,1.224618065,1.224618065,1.675675676,1.675675676,0.5,0.318312757
255,0.5,1.147700271,1.647700271,4056.282679,6498.395132,5216.212581,1.414231824,1.585768176,1.654177737,1.654177737,1.27027027,1.27027027,0.5,0.171536351
256,0.5,1.147700271,1.647700271,4858.362441,8707.114404,5216.212581,1.390919067,1.413621399,1.830375295,1.830375295,1.27027027,1.27027027,0.5,0.022702332
257,0.5,1.147700271,1.647700271,4329.962631,6670.196913,5926.105668,1.441666667,1.558333333,1.676199856,1.676199856,1.594594595,1.594594595,0.5,0.116666667
258,0.5,1.147700271,1.647700271,3256.837945,4997.202959,5707.386629,1.289135802,1.566296296,1.304746113,1.304746113,1.567567568,1.567567568,0.5,0.277160494
259,0.5,1.147700271,1.647700271,4496.972229,5543.626502,5090.004457,1.276316872,1.355260631,1.216931113,1.216931113,1.297297297,1.297297297,0.5,0.078943759
260,0.5,1.147700271,1.647700271,5382.534257,5580.06723,6168.373289,1.581028807,1.612647462,1.209777042,1.209777042,1.621621622,1.621621622,0.5,0.031618656
261,0.5,1.147700271,1.647700271,4953.539147,4909.591577,5707.386629,1.330556139,1.330556139,1.369258624,1.369258624,1.567567568,1.567567568,0.5,0
262,0.5,1.147700271,1.647700271,5016.271624,5052.288441,11965.47087,1.487620027,1.512379973,1.458207764,1.458207764,2.027027027,2.027027027,0.5,0.024759945
263,0.5,1.147700271,1.647700271,5583.805663,5873.04163,5513.361766,1.497565158,1.502434842,1.184728762,1.184728762,1.540540541,1.540540541,0.5,0.004869684
264,0.5,1.147700271,1.647700271,3710.028835,5008.03149,5091.564556,1.252860082,1.409993141,1.303063522,1.303063522,1.459459459,1.459459459,0.5,0.157133059
265,0.5,1.147700271,1.647700271,3043.253975,4882.696175,7351.447387,1.266090535,1.600864198,1.359724938,1.359724938,1.72972973,1.72972973,0.5,0.334773663
266,0.5,1.147700271,1.647700271,4682.11014,5337.213958,8057.424186,1.470473251,1.529526749,1.241676582,1.241676582,1.783783784,1.783783784,0.5,0.059053498
267,0.5,1.147700271,1.647700271,4109.468047,5291.454812,7695.68452,1.517510288,1.778209877,1.248814285,1.248814285,1.756756757,1.756756757,0.5,0.260699588
268,0.5,1.147700271,1.647700271,5079.767623,5387.830618,6719.178922,1.53,1.646666667,1.232869427,1.232869427,1.675675676,1.675675676,0.5,0.116666667
269,0.5,1.147700271,1.647700271,3984.286466,5808.507266,5513.361766,1.415603567,1.584396433,1.591430648,1.591430648,1.540540541,1.540540541,0.5,0.168792867
270,0.5,1.147700271,1.647700271,4302.57578,6027.135184,5002.586843,1.273641975,1.361502058,1.603953279,1.603953279,1.324324324,1.324324324,0.5,0.087860082
271,0.5,1.147700271,1.647700271,3287.868456,4886.158978,6719.178922,1.399135802,1.733909465,1.354801824,1.354801824,1.675675676,1.675675676,0.5,0.334773663
272,0.5,1.147700271,1.647700271,3219.108245,5624.228437,6888.482502,1.066522634,1.401296296,1.566125558,1.566125558,1.108108108,1.108108108,0.5,0.334773663
273,0.5,1.147700271,1.647700271,4112.79843,6608.03757,8057.424186,1.080925926,1.271666667,1.664879264,1.664879264,1.783783784,1.783783784,0.5,0.190740741
274,0.5,1.147700271,1.647700271,4357.093475,4890.862494,7351.447387,1.334677641,1.497983539,1.349980611,1.349980611,1.72972973,1.72972973,0.5,0.163305898
275,0.5,1.147700271,1.647700271,3528.690828,4889.588899,8057.424186,1.314924554,1.527613169,1.366216205,1.366216205,1.783783784,1.783783784,0.5,0.212688615
276,0.5,1.147700271,1.647700271,3721.864918,5224.606357,9662.253707,1.159931413,1.360274348,1.491162936,1.491162936,1.891891892,1.891891892,0.5,0.200342936
277,0.5,1.147700271,1.647700271,4478.471426,5142.482481,6433.085584,1.353333333,1.47,1.480012085,1.480012085,1.648648649,1.648648649,0.5,0.116666667
278,0.5,1.147700271,1.647700271,2840.696083,5558.12016,7351.447387,1.192983539,1.549705075,1.212409879,1.212409879,1.72972973,1.72972973,0.5,0.356721536
279,0.5,1.147700271,1.647700271,4155.694571,4905.550709,6168.373289,1.271790123,1.365823045,1.407645199,1.407645199,1.621621622,1.621621622,0.5,0.094032922
280,0.5,1.147700271,1.647700271,4307.264036,4882.793236,5204.19421,1.362386831,1.456419753,1.395170567,1.395170567,1.486486486,1.486486486,0.5,0.094032922
281,0.5,1.147700271,1.647700271,4517.280656,5135.910099,5091.564556,1.375006859,1.437489712,1.480820541,1.480820541,1.459459459,1.459459459,0.5,0.062482853
282,0.5,1.147700271,1.647700271,3748.079892,4890.176152,4937.575382,1.318765432,1.521851852,1.362582299,1.362582299,1.378378378,1.378378378,0.5,0.20308642
283,0.5,1.147700271,1.647700271,3360.767417,5766.983413,5926.105668,1.13962963,1.441481481,1.583908911,1.583908911,1.594594595,1.594594595,0.5,0.301851852
284,0.5,1.147700271,1.647700271,4109.907252,5313.480955,5091.564556,1.252860082,1.409993141,1.519884243,1.519884243,1.459459459,1.459459459,0.5,0.157133059
285,0.5,1.147700271,1.647700271,4167.89222,5539.788438,9662.253707,1.337421125,1.493868313,1.214769288,1.214769288,1.891891892,1.891891892,0.5,0.156447188
286,0.5,1.147700271,1.647700271,3012.084355,5686.157824,11965.47087,1.200390947,1.532421125,1.573844984,1.573844984,2.027027027,2.027027027,0.5,0.332030178
287,0.5,1.147700271,1.647700271,5503.199448,5245.263843,9662.253707,1.587613169,1.608257888,1.505476454,1.505476454,1.891891892,1.891891892,0.5,0.020644719
288,0.5,1.147700271,1.647700271,3396.805256,4937.256868,7351.447387,1.06899177,1.379074074,1.425844717,1.425844717,1.72972973,1.72972973,0.5,0.310082305
289,0.5,1.147700271,1.647700271,3752.349854,4904.484778,5216.212581,1.53218107,1.866954733,1.348239966,1.348239966,1.27027027,1.27027027,0.5,0.334773663
290,0.5,1.147700271,1.647700271,3568.69723,4970.521672,5008.658337,1.418888889,1.720740741,1.319314413,1.319314413,1.432432432,1.432432432,0.5,0.301851852
291,0.5,1.147700271,1.647700271,4457.39067,5084.92663,11482.19613,1.41148834,1.58851166,1.28566272,1.28566272,2,2,0.5,0.17702332
292,0.5,1.147700271,1.647700271,3639.251565,4958.874358,8829.916146,1.329190672,1.506213992,1.423451041,1.423451041,1.837837838,1.837837838,0.5,0.17702332
293,0.5,1.147700271,1.647700271,3915.427008,6030.631209,10548.25565,1.397085048,1.602914952,1.165994172,1.165994172,1.945945946,1.945945946,0.5,0.205829904
294,0.5,1.147700271,1.647700271,4960.855633,4909.659923,5707.386629,1.486934156,1.513065844,1.369173959,1.369173959,1.567567568,1.567567568,0.5,0.026131687
295,0.5,1.147700271,1.647700271,3537.781721,4880.010147,10548.25565,1.510233196,1.872441701,1.364531259,1.364531259,1.945945946,1.945945946,0.5,0.362208505
296,0.5,1.147700271,1.647700271,5089.125597,6112.198338,5513.361766,1.56840192,1.756399177,1.161655339,1.161655339,1.540540541,1.540540541,0.5,0.187997257
297,0.5,1.147700271,1.647700271,4243.108834,8068.646893,6719.178922,1.273436214,1.361982167,1.782474229,1.782474229,1.675675676,1.675675676,0.5,0.088545953
298,0.5,1.147700271,1.647700271,4329.177967,5338.108675,5382.923622,1.507777778,1.661481481,1.245281578,1.245281578,1.243243243,1.243243243,0.5,0.153703704
299,0.5,1.147700271,1.647700271,3724.425197,5222.517562,5926.105668,1.242777778,1.433518519,1.258217574,1.258217574,1.594594595,1.594594595,0.5,0.190740741
300,0.5,1.147700271,1.647700271,3887.675277,5106.204374,8829.916146,1.154170096,1.383319616,1.477710183,1.477710183,1.837837838,1.837837838,0.5,0.22914952
301,0.5,1.147700271,1.647700271,7134.384416,6183.964347,6168.373289,1.483168724,1.344554184,1.155372816,1.155372816,1.621621622,1.621621622,0.5,0.13861454
302,0.5,1.147700271,1.647700271,2517.42883,4920.736746,11965.47087,1.237558299,1.643662551,1.331785467,1.331785467,2.027027027,2.027027027,0.5,0.406104252
303,0.5,1.147700271,1.647700271,3811.642552,4877.344544,4952.308113,1.308888889,1.536666667,1.366323441,1.366323441,1.351351351,1.351351351,0.5,0.227777778
304,0.5,1.147700271,1.647700271,3503.340685,6175.488068,7351.447387,1.070500686,1.365493827,1.632904805,1.632904805,1.72972973,1.72972973,0.5,0.294993141
305,0.5,1.147700271,1.647700271,3315.386507,5653.676266,6719.178922,1.279259259,1.581111111,1.202175333,1.202175333,1.675675676,1.675675676,0.5,0.301851852
306,0.5,1.147700271,1.647700271,3717.792688,5172.641228,11965.47087,1.369650206,1.630349794,1.487480184,1.487480184,2.027027027,2.027027027,0.5,0.260699588
307,0.5,1.147700271,1.647700271,4412.204263,6227.262643,11965.47087,1.276111111,1.355740741,1.631584373,1.631584373,2.027027027,2.027027027,0.5,0.07962963
308,0.5,1.147700271,1.647700271,4045.331742,5187.337135,8435.784465,1.249773663,1.417194787,1.488464502,1.488464502,1.810810811,1.810810811,0.5,0.167421125
309,0.5,1.147700271,1.647700271,3704.473201,4882.76246,5008.658337,1.075576132,1.319814815,1.359540939,1.359540939,1.432432432,1.432432432,0.5,0.244238683
310,0.5,1.147700271,1.647700271,3694.701111,7184.908813,8829.916146,1.246069959,1.425836763,1.715738201,1.715738201,1.837837838,1.837837838,0.5,0.179766804
311,0.5,1.147700271,1.647700271,4961.838529,4974.729571,5216.212581,1.478017833,1.521982167,1.430973347,1.430973347,1.27027027,1.27027027,0.5,0.043964335
312,0.5,1.147700271,1.647700271,3964.47558,5524.394373,10098.9148,1.525192044,1.774917695,1.545958291,1.545958291,1.918918919,1.918918919,0.5,0.249725652
313,0.5,1.147700271,1.647700271,7755.960171,6199.511269,5216.212581,1.766595495,1.766595495,1.15422001,1.15422001,1.27027027,1.27027027,0.5,0
314,0.5,1.147700271,1.647700271,4045.714938,4914.267529,4952.308113,1.332482853,1.50127572,1.392236481,1.392236481,1.351351351,1.351351351,0.5,0.168792867
315,0.5,1.147700271,1.647700271,5597.023072,5032.448233,10098.9148,1.198477366,1.206090535,1.295991955,1.295991955,1.918918919,1.918918919,0.5,0.007613169
316,0.5,1.147700271,1.647700271,3454.963334,4937.757387,8435.784465,1.379938272,1.620061728,1.411982997,1.411982997,1.810810811,1.810810811,0.5,0.240123457
317,0.5,1.147700271,1.647700271,3896.888099,5661.242697,6719.178922,1.234958848,1.451762689,1.570421325,1.570421325,1.675675676,1.675675676,0.5,0.216803841
318,0.5,1.147700271,1.647700271,3533.837305,5403.915137,4937.575382,1.15005487,1.399780521,1.532975065,1.532975065,1.378378378,1.378378378,0.5,0.249725652
319,0.5,1.147700271,1.647700271,4859.127514,4909.49596,11965.47087,1.602969822,1.741584362,1.382942302,1.382942302,2.027027027,2.027027027,0.5,0.13861454
320,0.5,1.147700271,1.647700271,3740.413998,5350.047972,9239.0016,1.388168724,1.611831276,1.521272353,1.521272353,1.864864865,1.864864865,0.5,0.223662551
321,0.5,1.147700271,1.647700271,3470.936287,4908.607345,5091.564556,1.389540466,1.610459534,1.377929774,1.377929774,1.459459459,1.459459459,0.5,0.220919067
322,0.5,1.147700271,1.647700271,4469.957434,6628.492721,5591.91287,1.17872428,1.285102881,1.672417501,1.672417501,1.216216216,1.216216216,0.5,0.106378601
323,0.5,1.147700271,1.647700271,3924.004484,5742.721627,9239.0016,1.350041152,1.474938272,1.194666286,1.194666286,1.864864865,1.864864865,0.5,0.124897119
324,0.5,1.147700271,1.647700271,4299.237578,6141.659231,9662.253707,1.269938272,1.370144033,1.158914657,1.158914657,1.891891892,1.891891892,0.5,0.100205761
325,0.5,1.147700271,1.647700271,4157.459329,7270.511111,7351.447387,1.353333333,1.47,1.720742891,1.720742891,1.72972973,1.72972973,0.5,0.116666667
326,0.5,1.147700271,1.647700271,4348.543088,7081.12735,7025.628572,1.277345679,1.352860082,1.708225139,1.708225139,1.702702703,1.702702703,0.5,0.075514403
327,0.5,1.147700271,1.647700271,3321.315084,7257.400016,8829.916146,1.311632373,1.53255144,1.72491623,1.72491623,1.837837838,1.837837838,0.5,0.220919067
328,0.5,1.147700271,1.647700271,3883.768472,5272.060034,5926.105668,1.164595336,1.341618656,1.510547263,1.510547263,1.594594595,1.594594595,0.5,0.17702332
329,0.5,1.147700271,1.647700271,3821.89321,6381.062622,10548.25565,1.244835391,1.428717421,1.139586727,1.139586727,1.945945946,1.945945946,0.5,0.18388203
330,0.5,1.147700271,1.647700271,3908.773187,5306.964008,8435.784465,1.415603567,1.584396433,1.518993562,1.518993562,1.810810811,1.810810811,0.5,0.168792867
331,0.5,1.147700271,1.647700271,3438.6343,5913.510232,5091.564556,1.225082305,1.474807956,1.600239312,1.600239312,1.459459459,1.459459459,0.5,0.249725652
332,0.5,1.147700271,1.647700271,3808.013123,5017.179716,5345.219824,1.341536351,1.487695473,1.454741811,1.454741811,1.513513514,1.513513514,0.5,0.146159122
333,0.5,1.147700271,1.647700271,3942.438768,5109.506653,5513.361766,1.3418107,1.487283951,1.474741801,1.474741801,1.540540541,1.540540541,0.5,0.145473251
334,0.5,1.147700271,1.647700271,3782.324139,8586.544753,10548.25565,1.336872428,1.494691358,1.826056179,1.826056179,1.945945946,1.945945946,0.5,0.15781893
335,0.5,1.147700271,1.647700271,3289.734836,4894.900333,8829.916146,1.288038409,1.567942387,1.346548691,1.346548691,1.837837838,1.837837838,0.5,0.279903978
336,0.5,1.147700271,1.647700271,3985.001478,6155.362511,5091.564556,1.463333333,1.691111111,1.623201086,1.623201086,1.459459459,1.459459459,0.5,0.227777778
337,0.5,1.147700271,1.647700271,6233.84654,4926.450946,6888.482502,1.730802469,1.918799726,1.347810964,1.347810964,1.108108108,1.108108108,0.5,0.187997257
338,0.5,1.147700271,1.647700271,4949.781654,5318.983307,8435.784465,1.341103708,1.341103708,1.517445316,1.517445316,1.810810811,1.810810811,0.5,0
