lambda=0.5,T=100000,Single_Price=True,Alg.Cx=1,Alg.Cy=0.005,Alg.Cz=4,soft_constraint=False,,,,,,,,
39,0.5,1.147700271,1.647700271,5063.44042,8998.389063,11009.57451,1.293700663,1.293700663,1.848649393,1.848649393,1.972972973,1.972972973,0.5,0
40,0.5,1.147700271,1.647700271,5464.462712,4887.38649,5008.658337,1.510665295,1.489334705,1.352713836,1.352713836,1.432432432,1.432432432,0.5,0.02133059
41,0.5,1.147700271,1.647700271,5092.084576,6994.227996,5707.386629,1.296069959,1.309170096,1.704786971,1.704786971,1.567567568,1.567567568,0.5,0.013100137
42,0.5,1.147700271,1.647700271,4329.142302,4996.224855,5707.386629,1.444753086,1.555246914,1.306643183,1.306643183,1.567567568,1.567567568,0.5,0.110493827
43,0.5,1.147700271,1.647700271,4003.707826,6206.595277,7695.68452,1.258415638,1.397030178,1.628780086,1.628780086,1.756756757,1.756756757,0.5,0.13861454
44,0.5,1.147700271,1.647700271,4851.888493,10437.24281,5008.658337,1.392839506,1.410740741,1.942008125,1.942008125,1.432432432,1.432432432,0.5,0.017901235
45,0.5,1.147700271,1.647700271,4044.944403,4890.513113,6433.085584,1.521351166,1.776563786,1.350614798,1.350614798,1.648648649,1.648648649,0.5,0.25521262
46,0.5,1.147700271,1.647700271,3681.100966,6142.491033,5845.020673,1.430411523,1.713058985,1.623620816,1.623620816,1.189189189,1.189189189,0.5,0.282647462
47,0.5,1.147700271,1.647700271,4991.617242,5115.218043,5216.212581,1.554691358,1.630205761,1.472718902,1.472718902,1.27027027,1.27027027,0.5,0.075514403
48,0.5,1.147700271,1.647700271,3239.66063,6039.595893,6433.085584,1.136337449,1.454650206,1.618330316,1.618330316,1.648648649,1.648648649,0.5,0.318312757
49,0.5,1.147700271,1.647700271,5117.423982,4879.990007,5008.658337,1.495164609,1.504835391,1.364259444,1.364259444,1.432432432,1.432432432,0.5,0.009670782
50,0.5,1.147700271,1.647700271,4930.24004,5155.583798,5707.386629,1.352079556,1.352079556,1.488254789,1.488254789,1.567567568,1.567567568,0.5,0
51,0.5,1.147700271,1.647700271,3715.215613,5064.710181,4937.575382,1.320411523,1.519382716,1.467268532,1.467268532,1.378378378,1.378378378,0.5,0.198971193
52,0.5,1.147700271,1.647700271,3987.647682,4925.111124,5204.19421,1.475679012,1.682880658,1.331383062,1.331383062,1.486486486,1.486486486,0.5,0.207201646
53,0.5,1.147700271,1.647700271,3940.953587,5732.934835,5008.658337,1.162400549,1.350397805,1.575579235,1.575579235,1.432432432,1.432432432,0.5,0.187997257
54,0.5,1.147700271,1.647700271,3641.481646,4903.737985,7695.68452,1.152798354,1.388806584,1.347590905,1.347590905,1.756756757,1.756756757,0.5,0.23600823
55,0.5,1.147700271,1.647700271,2735.037908,4917.418352,5216.212581,1.188045267,1.561227709,1.33871618,1.33871618,1.27027027,1.27027027,0.5,0.373182442
56,0.5,1.147700271,1.647700271,3977.300255,6331.833955,7695.68452,1.155541838,1.377832647,1.6489422,1.6489422,1.756756757,1.756756757,0.5,0.222290809
57,0.5,1.147700271,1.647700271,3734.644092,4897.908808,9662.253707,1.249773663,1.417194787,1.352591997,1.352591997,1.891891892,1.891891892,0.5,0.167421125
58,0.5,1.147700271,1.647700271,6015.269867,6952.606108,6491.292192,1.711056241,1.82223594,1.69997467,1.69997467,1.135135135,1.135135135,0.5,0.111179698
59,0.5,1.147700271,1.647700271,3034.023264,4888.27284,11482.19613,1.267187929,1.599218107,1.387931637,1.387931637,2,2,0.5,0.332030178
60,0.5,1.147700271,1.647700271,6419.446916,7422.04915,5002.586843,1.547359396,1.452640604,1.734902623,1.734902623,1.324324324,1.324324324,0.5,0.094718793
61,0.5,1.147700271,1.647700271,3807.148962,5505.262003,4952.308113,1.255946502,1.402791495,1.216351053,1.216351053,1.351351351,1.351351351,0.5,0.146844993
62,0.5,1.147700271,1.647700271,3322.735979,8969.900338,6433.085584,1.303950617,1.544074074,1.847213087,1.847213087,1.648648649,1.648648649,0.5,0.240123457
63,0.5,1.147700271,1.647700271,3737.076845,5208.107984,9239.0016,1.46744856,1.688367627,1.258329916,1.258329916,1.864864865,1.864864865,0.5,0.220919067
64,0.5,1.147700271,1.647700271,3372.606759,5474.085859,5926.105668,1.350445816,1.649554184,1.540110656,1.540110656,1.594594595,1.594594595,0.5,0.299108368
65,0.5,1.147700271,1.647700271,3808.682455,4935.33715,6168.373289,1.41148834,1.58851166,1.33516466,1.33516466,1.621621622,1.621621622,0.5,0.17702332
66,0.5,1.147700271,1.647700271,3441.031478,4895.969727,5345.219824,1.310534979,1.534197531,1.346571222,1.346571222,1.513513514,1.513513514,0.5,0.223662551
67,0.5,1.147700271,1.647700271,2759.157111,4913.764512,7695.68452,1.250727023,1.623909465,1.335956859,1.335956859,1.756756757,1.756756757,0.5,0.373182442
68,0.5,1.147700271,1.647700271,4668.027476,6036.159041,6719.178922,1.492139918,1.671906722,1.609629903,1.609629903,1.675675676,1.675675676,0.5,0.179766804
69,0.5,1.147700271,1.647700271,3953.10028,4881.422825,8057.424186,1.421090535,1.578909465,1.361839682,1.361839682,1.783783784,1.783783784,0.5,0.15781893
70,0.5,1.147700271,1.647700271,3740.268961,6847.881931,5845.020673,1.452633745,1.69824417,1.68838293,1.68838293,1.189189189,1.189189189,0.5,0.245610425
71,0.5,1.147700271,1.647700271,5906.544174,4941.56749,5008.658337,1.652901235,1.720185185,1.427965595,1.427965595,1.432432432,1.432432432,0.5,0.067283951
72,0.5,1.147700271,1.647700271,3047.82428,4931.638774,4956.852538,1.266090535,1.600864198,1.332039865,1.332039865,1.405405405,1.405405405,0.5,0.334773663
73,0.5,1.147700271,1.647700271,4041.856968,5029.406322,7025.628572,1.332482853,1.50127572,1.460978907,1.460978907,1.702702703,1.702702703,0.5,0.168792867
74,0.5,1.147700271,1.647700271,3576.800706,5069.883789,7695.68452,1.306694102,1.539958848,1.473441577,1.473441577,1.756756757,1.756756757,0.5,0.233264746
75,0.5,1.147700271,1.647700271,4673.19684,4992.230391,6168.373289,1.469444444,1.530555556,1.308238463,1.308238463,1.621621622,1.621621622,0.5,0.061111111
76,0.5,1.147700271,1.647700271,5080.080554,5155.933756,11009.57451,1.515596708,1.656268861,1.2710874,1.2710874,1.972972973,1.972972973,0.5,0.140672154
77,0.5,1.147700271,1.647700271,3803.408802,6297.930496,11009.57451,1.488703704,1.790555556,1.146057192,1.146057192,1.972972973,1.972972973,0.5,0.301851852
78,0.5,1.147700271,1.647700271,3733.270844,4887.721322,6719.178922,1.330288066,1.504567901,1.352693035,1.352693035,1.675675676,1.675675676,0.5,0.174279835
79,0.5,1.147700271,1.647700271,4359.306005,5363.862791,5091.564556,1.455727023,1.544272977,1.522060551,1.522060551,1.459459459,1.459459459,0.5,0.088545953
80,0.5,1.147700271,1.647700271,4291.346231,4875.591785,4956.852538,1.277962963,1.351419753,1.377174328,1.377174328,1.405405405,1.405405405,0.5,0.07345679
81,0.5,1.147700271,1.647700271,3115.455714,4919.977546,5091.564556,1.221378601,1.483449931,1.41654263,1.41654263,1.459459459,1.459459459,0.5,0.262071331
82,0.5,1.147700271,1.647700271,4450.980872,5028.485559,5707.386629,1.374183813,1.43872428,1.450445185,1.450445185,1.567567568,1.567567568,0.5,0.064540466
83,0.5,1.147700271,1.647700271,3897.168691,5530.679096,5091.564556,1.248539095,1.420075446,1.217840551,1.217840551,1.459459459,1.459459459,0.5,0.171536351
84,0.5,1.147700271,1.647700271,4407.991615,6883.086651,9662.253707,1.350041152,1.474938272,1.694414645,1.694414645,1.891891892,1.891891892,0.5,0.124897119
85,0.5,1.147700271,1.647700271,3487.979117,5020.739651,6433.085584,1.221378601,1.483449931,1.45463823,1.45463823,1.648648649,1.648648649,0.5,0.262071331
86,0.5,1.147700271,1.647700271,3640.161439,5182.351685,6168.373289,1.231666667,1.459444444,1.272365381,1.272365381,1.621621622,1.621621622,0.5,0.227777778
87,0.5,1.147700271,1.647700271,4269.283914,4966.478965,5845.020673,1.502016461,1.665322359,1.317206385,1.317206385,1.189189189,1.189189189,0.5,0.163305898
88,0.5,1.147700271,1.647700271,4234.295782,4932.459164,5216.212581,1.176803841,1.292784636,1.409369786,1.409369786,1.27027027,1.27027027,0.5,0.115980796
89,0.5,1.147700271,1.647700271,4386.103986,5129.733764,8435.784465,1.366502058,1.450246914,1.477078822,1.477078822,1.810810811,1.810810811,0.5,0.083744856
90,0.5,1.147700271,1.647700271,3782.324139,4908.58853,5845.020673,1.336872428,1.494691358,1.376105303,1.376105303,1.189189189,1.189189189,0.5,0.15781893
91,0.5,1.147700271,1.647700271,3470.936287,4934.679231,9662.253707,1.389540466,1.610459534,1.40796905,1.40796905,1.891891892,1.891891892,0.5,0.220919067
92,0.5,1.147700271,1.647700271,3771.118404,5219.479947,7025.628572,1.463333333,1.691111111,1.264600634,1.264600634,1.702702703,1.702702703,0.5,0.227777778
93,0.5,1.147700271,1.647700271,4329.962631,7290.960084,5591.91287,1.441666667,1.558333333,1.730067209,1.730067209,1.216216216,1.216216216,0.5,0.116666667
94,0.5,1.147700271,1.647700271,5092.7605,7309.965734,8057.424186,1.475415418,1.475415418,1.729559683,1.729559683,1.783783784,1.783783784,0.5,0
95,0.5,1.147700271,1.647700271,4772.042334,6163.029316,6168.373289,1.539053498,1.640631001,1.158089679,1.158089679,1.621621622,1.621621622,0.5,0.101577503
96,0.5,1.147700271,1.647700271,4234.670328,5701.327616,5204.19421,1.256152263,1.402311385,1.571049283,1.571049283,1.486486486,1.486486486,0.5,0.146159122
97,0.5,1.147700271,1.647700271,4089.342875,4886.836076,6433.085584,1.348395062,1.477407407,1.353872709,1.353872709,1.648648649,1.648648649,0.5,0.129012346
98,0.5,1.147700271,1.647700271,4564.915767,5144.878738,11482.19613,1.447153635,1.552846365,1.273572543,1.273572543,2,2,0.5,0.10569273
